Gene;(Intercept);Selection;WNL-NL;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117891828;0;3.87E-13;525.291118;5650.974369;6061.736801;6297.935819;6049.882064;6503.55647;7033.081809;6528.840114;6003.548996;1.087496765;6662.548551;7151.187164;6900.346589;6722.963611;7717.975413;7341.777603;7260.905542;6904.694101;1.05158975
gene-LOC117891134;0;3.92E-13;-614.3167748;4881.76245;6488.025865;4909.336126;4321.497029;5589.279553;4525.397534;4812.058039;5426.374813;0.886790575;7543.396917;4157.783173;6094.923057;7257.882958;5062.14503;5998.932047;6106.320012;5932.034382;1.029380415
gene-LOC117895363;0;3.99E-13;-208.2479875;1234.838932;1440.013827;1335.489904;1077.434827;1245.158087;1063.005787;1128.5329;1336.780888;0.844216813;1117.674539;1027.452188;1302.836924;1304.879013;1198.431646;1285.088757;1262.799806;1149.321217;1.098735312
gene-LOC117902929;0;4.06E-13;284.7193345;2419.893844;1758.559502;2319.127455;2663.658322;2058.429173;2629.651309;2450.579601;2165.860267;1.13145785;2861.246821;2699.560661;2260.886377;2478.459641;2137.896202;1978.170334;2198.175392;2607.231286;0.84310717
gene-LOC117896178;0;5.74E-13;-910.2983125;9457.01152;12158.13887;10287.80872;8930.523789;10967.84004;9273.700337;9724.02139;10634.3197;0.914399949;10219.77433;9293.045178;11008.37438;11129.56435;10587.40639;11172.60831;10963.19302;10173.73129;1.077598051
gene-LOC117900058;0;6.52E-13;409.5361301;3917.319078;4041.782467;4316.276815;4165.440001;4526.106109;4812.44064;4501.328917;4091.792787;1.100087212;4595.152727;4932.370182;4328.691771;4534.657192;4795.616856;4519.46945;4616.581166;4618.738227;0.999532976
gene-LOC117900007;0;8.32E-13;220.3718303;1461.307416;972.5012055;1494.819271;1683.491917;1190.301472;1715.949994;1529.914461;1309.542631;1.168281525;1520.037373;1698.094618;1067.462011;1488.048365;1222.060031;1285.088757;1331.732384;1428.531334;0.932238833
gene-LOC117897413;0;8.77E-13;-268.3553282;2668.813945;1633.01503;1797.98765;2390.024081;1349.646877;1555.079682;1764.91688;2033.272208;0.868018002;2021.480545;1957.956066;1732.212255;2476.02819;2085.913757;2080.355439;2214.099128;1903.882955;1.162938679
gene-LOC117899736;0;1.02E-12;507.227947;3178.368034;2947.484386;4087.240849;3512.352025;3550.877398;4671.547687;3911.59237;3404.364423;1.148993434;1903.067459;3207.289952;2423.626064;1604.758041;2788.149335;2331.375369;2241.427582;2511.327825;0.892526877
gene-LOC117895762;0;1.37E-12;-263.7884417;1862.508049;2475.287269;2283.720929;1667.458661;2229.094198;1933.598063;1943.383641;2207.172082;0.880485784;2403.302334;1750.066908;2424.545497;2702.96367;2170.030804;2372.471552;2415.155342;2192.638246;1.101483725
gene-LOC117901100;0;1.38E-12;326.6402767;3912.438292;2037.755416;3113.561383;4307.60154;2272.631194;3463.443187;3347.891974;3021.251697;1.108114222;2945.827596;3506.130618;2305.938607;2945.298344;2336.374629;2517.974255;2599.882409;2919.29894;0.890584508
gene-LOC117902321;0;1.64E-12;316.7649515;2838.665308;2523.06912;3207.609968;3109.382849;2910.012816;3500.243585;3173.213083;2856.448132;1.110894698;3189.90355;3525.120493;2765.655235;2789.685443;3103.824548;2701.241018;2864.917003;3160.226426;0.906554347
gene-LOC117898066;0;1.69E-12;-325.1499086;3068.062263;3669.833547;3287.274652;2783.373303;3279.206542;2987.140891;3016.573579;3341.723487;0.902699936;3736.053703;2745.536148;3914.027372;3935.70962;3737.065244;3896.362455;3856.379106;3465.205741;1.112886043
gene-LOC117900893;0;2.12E-12;190.0153129;1023.988964;859.1364214;1027.895709;1169.35883;1015.282748;1296.425455;1160.355678;970.3403648;1.195823362;847.0160562;985.4745693;721.7551063;970.9596632;922.452119;733.0670526;875.4929449;851.4152439;1.028279622
gene-LOC117890305;0;2.17E-12;302.7834162;2172.926057;1973.109382;2168.64972;2417.815058;2213.420879;2591.799471;2407.678469;2104.895053;1.143847274;1720.614642;1807.036533;1686.240592;1911.12094;1849.629915;1823.78197;1861.510942;1737.963922;1.071087217
gene-LOC117893939;0;2.93E-12;-145.8897418;661.8346212;799.1748827;714.7692444;537.6485297;660.0208601;540.440133;579.369841;725.2595828;0.798844793;650.063678;589.6855942;731.8688721;679.1854739;717.3577442;824.1450803;740.2294328;657.2060481;1.126327786
gene-LOC117902115;0;3.54E-12;1856.255683;3235.961312;4848.452542;6326.703621;3988.005297;7237.590223;8754.289003;6659.961508;4803.705825;1.386421598;2286.097544;2972.415182;2060.449928;2116.173356;2428.05276;1919.302829;2154.509648;2439.654218;0.883120908
gene-LOC117894591;0;4.24E-12;474.1901427;1025.941279;1641.447121;1935.187939;1399.168838;1957.423342;2668.554587;2008.382256;1534.192113;1.309081333;1625.159195;2629.597963;2002.525632;1105.499984;2554.700899;1994.830949;1885.010611;2085.76093;0.903751999
gene-LOC117899757;0;4.94E-12;-253.6034945;1353.930117;1484.048082;1127.476563;1140.498969;1118.900798;945.2445128;1068.21476;1321.818254;0.808140421;1685.574035;1343.283794;1550.16447;1719.846749;1555.692815;1650.511576;1642.017047;1526.340766;1.075786668
gene-LOC117895543;0;5.21E-12;144.5392231;656.9538349;449.7115401;642.8497383;817.6960741;564.2394688;801.19724;727.7109276;583.1717045;1.247850199;520.7759205;817.564095;468.9109608;530.8669277;530.2209413;539.8039206;533.6305965;602.4169921;0.885815977
gene-LOC117901167;0;5.67E-12;174.1201833;782.8781213;804.796277;950.4439333;879.691332;1017.894968;1162.892582;1020.159627;846.0394439;1.205806224;717.7282987;1038.446326;783.3571345;707.552409;920.5618482;1016.297505;881.4705873;846.5105864;1.041298953
gene-LOC117890853;0;5.86E-12;-238.3187184;1791.248569;2123.950128;1828.968361;1495.368376;1879.927489;1653.915037;1676.403634;1914.722353;0.875533537;2083.103682;1663.113269;2126.649122;2322.84674;1832.617478;2262.511494;2139.325237;1957.622024;1.092818333
gene-LOC117896626;0;6.05E-12;117.6593994;433.4138228;326.9777656;371.7685234;522.6841571;469.3288174;493.1253354;495.0461033;377.3867039;1.311774098;375.7803046;503.7314229;410.9866656;344.4556401;378.9992825;460.943677;394.7995332;430.166131;0.917783862
