Gene;(Intercept);Generation ;Selection;Generation:Selection;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL23;meanNL23;meanWNL9DIVmeanNL9;meanWNL23DIVmeanNL23
gene-LOC117902237;0;0.027362176;0.330877434;2.18E-08;2483.993322;2376.957363;2535.048195;2837.186921;2783.153445;2876.615106;2958.140601;3079.439052;2683.755848;2694.352944;2700.538486;2514.735122;2636.542184;2907.111833;2832.318491;2465.33296;0.906928366;1.148858404
gene-LOC117895370;0;0.103505903;0.687270393;2.32E-08;785.0247664;808.6456967;973.0752008;979.152327;972.6465574;1077.165018;885.0640874;1043.978373;1215.197141;877.910001;878.1567555;955.0191944;903.695317;1048.079867;1009.654634;855.581888;0.862238981;1.180079485
gene-LOC117896706;0;1.42E-08;0.124197064;2.72E-08;13153.19356;16528.25706;15160.63359;12235.98579;11932.22397;12131.67539;14356.44259;16288.63789;14269.18264;15114.19737;18483.50212;16969.44153;16855.71367;14971.42104;12099.96172;14947.3614;1.125859304;0.809504861
gene-LOC117903892;0;0.216774456;0.000203286;3.73E-08;1136.098892;1125.573345;1155.145673;1368.07862;1270.451262;1336.018627;1202.487773;1284.667884;1328.975251;1194.496472;1230.520595;1280.79677;1235.271279;1272.043636;1324.849503;1138.939303;0.971091906;1.163230998
gene-LOC117890661;0;3.26E-06;0.061344175;5.04E-08;288.9167395;233.3739956;267.4432289;358.5414262;458.0910284;398.718059;475.6185516;489.3029565;466.8421448;340.1620592;472.5712948;346.9754316;386.5695952;477.254551;405.1168379;263.2446547;0.80998619;1.538936615
gene-LOC117895704;0;2.98E-19;0.012550139;6.49E-08;215.2487263;169.9884659;168.1320624;135.2126565;115.6611543;108.5515134;103.3953373;76.26786973;72.72415321;141.4535296;80.75004648;73.63465751;98.61274452;84.12912009;119.8084414;184.4564182;1.172159467;0.649521673
gene-LOC117902319;0;0.113597807;0.650848032;7.44E-08;500.7122777;441.7779341;515.7211449;543.1294909;559.1806987;555.2827418;529.3841271;516.0462355;564.1986725;414.2567652;463.3951531;505.4015129;461.0178104;536.5430117;552.5309771;486.0704522;0.859237378;1.13673023
gene-LOC117890962;0;3.19E-07;0.348543475;7.44E-08;916.245915;1000.723059;1102.005487;1017.13341;1160.254414;1222.248291;1060.836161;1300.515753;1316.072579;1075.495884;1151.605777;1153.609634;1126.903765;1225.808164;1133.212038;1006.32482;0.919314945;1.126089723
gene-LOC117898376;0;4.56E-09;0.117787205;7.91E-08;1398.541189;1366.630435;1540.19423;1676.485016;1697.577887;1647.060463;1317.256597;1388.669524;1553.012562;1310.129119;1269.978004;1331.002218;1303.703114;1419.646228;1673.707789;1435.121952;0.918329573;1.166247779
gene-LOC117894065;0;0.173420448;0.783275941;8.32E-08;1458.39645;1456.906796;1707.455142;1787.389779;1836.917703;1791.099972;1693.615625;1823.495431;1655.060971;1591.913531;1441.571853;1450.379618;1494.621667;1724.057342;1805.135818;1540.919463;0.866921088;1.171466687
