Gene;(Intercept);Selection;WNL-NL;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117902343;0;1.53043E-20;-3737.644778;19525.4767;15801.24424;18327.26596;16181.46072;12046.06368;14382.03177;11855.30938;9851.431589;8127.510607;11838.31325;7501.495795;7463.876648;8934.561897;9944.750524;0.898419913;14203.18539;17884.6623;0.794154519
gene-LOC117889610;0;1.78791E-20;-1151.242227;7611.977684;6299.177108;7043.25246;6526.669351;5084.5372;5906.663601;4783.068304;4757.332186;2822.166333;5471.781771;3310.751906;3401.698042;4061.410573;4120.855608;0.985574589;5839.290051;6984.802417;0.835999317
gene-LOC117901109;0;1.90369E-20;-534.2731021;4651.4444;5366.641512;4997.790892;4095.120399;4798.571827;4501.756514;4205.088369;4419.574477;4327.087116;4250.34177;4578.894681;3727.475617;4185.570689;4317.249987;0.969499265;4465.14958;5005.292268;0.892085685
gene-LOC117895355;0;2.40247E-20;-2914.330475;20385.32055;19184.68698;20499.91551;17790.33941;16698.00995;16865.14764;15977.68148;15763.67723;14799.36518;16829.60208;14455.17593;14469.2102;15251.3294;15513.57463;0.983095758;17117.83233;20023.30768;0.854895335
gene-LOC117893973;0;3.58038E-20;-81.59725762;149.638152;157.5034374;131.543738;73.68330157;68.30383128;61.58210858;93.05580358;69.33442703;69.20524257;136.9629413;44.96309406;81.44439392;87.79014311;77.19849106;1.137200247;67.85641381;146.2284424;0.46404388
gene-LOC117899321;0;4.42219E-20;-437.0766446;2755.644121;2492.20378;3063.836599;2400.404463;2099.204415;2508.166219;1787.705382;2103.804614;1711.363541;1865.839414;1548.015096;1221.665909;1545.173473;1867.624513;0.827346965;2335.925032;2770.5615;0.843123328
gene-LOC117896500;0;5.06661E-20;-360.256526;1850.908833;1912.130145;1926.113938;1599.763228;1543.666587;1481.1019;1874.557466;1617.473133;1251.559217;1933.198238;1214.921154;1127.949072;1425.356154;1581.196605;0.901441446;1541.510571;1896.384306;0.812868239
gene-LOC117891485;0;5.21394E-20;661.4870514;5149.854553;5336.869521;5641.571173;5589.296216;6159.184146;6148.816977;6075.510021;5021.793501;4993.334197;5956.765301;4718.372034;4872.159839;5182.432391;5363.545906;0.966232504;5965.76578;5376.098415;1.109683142
gene-LOC117897354;0;6.45358E-20;-625.6399034;5796.751794;5170.722602;5807.960934;5222.398951;4498.945687;5147.846772;4393.267883;5009.907599;3586.942912;4092.048534;3977.857403;3386.078569;3818.661502;4330.039464;0.88189993;4956.397137;5591.811777;0.886366948
gene-LOC117896465;0;8.45457E-20;-740.3348103;7105.510092;7340.236413;7149.532832;6327.648475;6454.256697;6552.753859;5686.743552;6497.626304;5882.445619;5994.935301;5335.926367;5787.014675;5705.958781;6022.271825;0.947476126;6444.886344;7198.426446;0.895318774
