Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;meanWPT9-meanPT9;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;meanWPT23-meanPT23;meanWPT23DIVmeanPT23;meanWPT23DIVmeanPT23.DIV.meanWPT9DIVmeanPT9
gene-LOC117896079;0;1.20E-09;2292.043161;2386.947421;2123.894504;2512.19209;2707.077616;2311.966955;2510.41222;2267.628362;242.7838583;1.1070651;2405.998017;2743.123016;2698.704664;2986.130449;2808.430561;3206.493489;3000.3515;2615.941899;384.4096007;1.14694883;1.036026544
gene-LOC117898021;0;2.41E-09;2915.103892;2564.299284;2397.849001;3299.208864;2966.38271;3041.405517;3102.332364;2625.750725;476.5816383;1.181503002;3532.11571;5049.600006;4525.060514;5067.968034;4550.125935;5137.71579;4918.603253;4368.92541;549.6778431;1.125815342;0.952867102
gene-LOC117892070;0;2.96E-09;1208.034678;1411.512177;1346.859929;1390.504259;1578.635901;1544.0822;1504.407453;1322.135595;182.2718588;1.137861699;1384.969893;1773.581034;1817.393362;1940.942096;1767.245918;2009.59568;1905.927898;1658.648097;247.2798016;1.149085151;1.009863635
gene-LOC117892584;4.81E-197;3.11E-09;92.77550075;162.7464151;92.64643003;45.34253019;88.68741019;68.57969393;67.53654477;116.0561153;-48.51957051;0.581930083;118.3640404;132.6370992;157.3414527;52.94254728;183.1122276;77.52149509;104.5254233;136.1141974;-31.5887741;0.767924473;1.319616386
gene-LOC117892300;0;4.82E-09;1078.148977;1106.884272;1160.570871;873.3834983;987.3865001;1022.460891;961.0769632;1115.201373;-154.12441;0.86179679;1362.845773;1363.93194;1238.814982;1126.309998;1251.976626;1107.44993;1161.912185;1321.864232;-159.9520474;0.878995101;1.019956342
gene-LOC117894448;0;5.70E-09;29265.29927;20883.70344;22201.27247;34197.98402;23111.9391;23974.83755;27094.92022;24116.75839;2978.161828;1.123489309;40446.20942;27046.23044;30520.2585;29737.48724;27984.23265;35824.30146;31182.00712;32670.89945;-1488.892338;0.954427568;0.849520828
gene-LOC117903176;0;6.57E-09;1463.899743;1170.522293;1236.281932;1269.590845;1076.07391;1030.773582;1125.479446;1290.234656;-164.7552103;0.872306011;1402.669189;1482.483684;1369.268972;1651.46591;1344.597346;1437.129255;1477.730837;1418.140615;59.59022238;1.042019967;1.194557821
gene-LOC117897656;0;7.03E-09;3120.186578;2076.060038;2060.13782;2451.735383;1858.212404;1707.218744;2005.722177;2418.794812;-413.0726352;0.82922378;2875.029355;2385.120226;1950.834847;1835.910914;2358.102234;2581.210221;2258.407789;2403.661476;-145.2536866;0.939569824;1.13307149
gene-LOC117903056;0;7.73E-09;1857.463183;1741.177992;1610.852445;1651.7636;1560.898419;1423.548192;1545.403404;1736.497873;-191.0944695;0.889954101;1625.016592;1610.425664;1687.935205;1584.86077;1567.099995;1476.315945;1542.758903;1641.12582;-98.36691715;0.940061319;1.056303148
gene-LOC117899984;0;9.28E-09;1809.610557;2309.747198;2005.346921;2175.361865;2514.499239;2356.647664;2348.836256;2041.568225;307.2680309;1.150505884;2368.387014;2393.336684;2128.09294;2538.680533;2563.571187;2774.588016;2625.613246;2296.605546;329.0076999;1.143258254;0.993700484
gene-LOC117903862;0;9.48E-09;2003.950816;1446.982549;1337.894145;2192.63521;1649.58583;1525.378647;1789.199896;1596.275837;192.9240585;1.120858848;2387.192515;1822.879779;1981.705639;1918.740383;1800.248703;1833.255576;1850.748221;2063.925978;-213.1777571;0.896712499;0.800022679
gene-LOC117891118;0;1.13E-08;546.8871623;637.423459;444.3043849;403.7644355;522.8333991;388.6182656;438.4053668;542.8716687;-104.466302;0.807567224;1067.488775;787.6061376;1184.044223;714.7243883;1015.6341;1158.563003;962.9738305;1013.046379;-50.0725483;0.950572304;1.177081332
gene-LOC117900175;0;1.26E-08;1999.067895;2807.37566;2451.643702;2279.001934;3075.341529;2606.028369;2653.457277;2419.362419;234.0948584;1.096758905;2847.374205;4176.307955;3181.683174;4431.803555;3374.800939;4031.969629;3946.191374;3401.788445;544.4029298;1.160034329;1.057693102
gene-LOC117897558;0;1.37E-08;46.87604248;61.55152877;49.80990862;98.24214876;83.61955818;96.63502327;92.8322434;52.74582663;40.08641678;1.759992199;43.14203341;99.7712693;98.58736595;64.89731602;159.6908962;114.1525312;112.9135811;80.50022289;32.41335826;1.402649298;0.796963361
gene-LOC117894775;0;1.47E-08;1731.483819;2576.818239;2497.468818;1530.850186;2322.765505;2306.771523;2053.462405;2268.590292;-215.1278872;0.905171115;1911.523942;1622.163461;2075.313845;1267.205487;1843.897548;2059.004985;1723.36934;1869.667083;-146.2977427;0.921751982;1.018317937
gene-LOC117897194;0;1.72E-08;4563.578052;4300.261044;4961.066898;4386.350004;3966.43884;4550.158784;4300.982543;4608.301998;-307.3194555;0.93331178;3673.710076;3984.981874;3991.294573;4567.575571;4398.951887;4303.720804;4423.416087;3883.328841;540.0872465;1.139078422;1.22046935
gene-LOC117891037;2.36E-10;2.88E-08;5.85950531;1.04324625;4.980990862;19.43251294;10.13570402;38.44619205;22.67146967;3.961247474;18.7102222;5.723315652;5.531029924;7.042677833;3.983327917;5.97738437;14.90448364;8.518845614;9.800237876;5.519011891;4.281225985;1.775723276;0.310261286
