Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;WPT-PT;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;WPT23-PT23;meanWPT23DIVmeanPT23
gene-LOC117902408;0;2.07E-26;4147.553175;3581.464378;3396.03957;4035.485187;3550.030334;3252.34003;3612.618517;3708.352374;-835.9417044;0.974184261;5287.664608;5674.050774;5838.562895;4323.356724;4891.864453;5077.231986;4764.151054;5600.092759;-835.9417044;0.850727168
gene-LOC117891847;0;2.66E-26;8146.66555;6930.284842;8030.353468;7469.642058;7296.017612;6841.344013;7202.334561;7702.43462;946.9809251;0.935072469;9849.658089;8756.396105;9069.041836;10659.38416;9657.040795;10199.61385;10172.01294;9225.03201;946.9809251;1.102653403
gene-LOC117893602;0;9.69E-26;10620.35337;11064.66973;9368.247613;10171.84094;12091.05026;9861.967805;10708.28633;10351.09024;-1325.846271;1.034508065;15393.96249;14782.58077;14697.48418;13745.42232;13556.69248;13594.37383;13632.16288;14958.00915;-1325.846271;0.911362117
gene-LOC117897168;0;2.36E-25;4216.890655;4249.141978;3850.305936;4558.003869;4237.568923;4418.194827;4404.589206;4105.44619;599.837378;1.072864922;4584.117601;4904.051331;4549.956313;5214.840907;5409.262957;5213.533516;5279.21246;4679.375082;599.837378;1.128187497
gene-LOC117892152;0;2.59E-25;12260.03828;12353.07885;12411.63303;12748.80807;11912.83079;11845.5835;12169.07412;12341.58339;-1038.508397;0.986022112;15472.50311;15527.93084;15434.39985;14238.98348;14663.88269;14416.44243;14439.76954;15478.27793;-1038.508397;0.93290543
gene-LOC117891886;0;4.03E-23;13541.31677;12662.92299;13834.20402;13274.56551;12877.41196;14952.45145;13701.47631;13346.14793;1513.573171;1.02662404;7614.015794;11494.824;9175.595857;8480.200598;13573.72618;10771.22839;10941.71839;9428.145218;1513.573171;1.160537745
gene-LOC117895028;0;4.07E-23;3335.035106;2076.060038;2687.742669;2322.185296;2163.128167;2772.282173;2419.198545;2699.612604;381.4038263;0.896128038;1516.608405;1923.824828;1449.931362;1776.990982;2386.846595;1870.738497;2011.525358;1630.121532;381.4038263;1.233972633
gene-LOC117896282;0;9.01E-23;665.0538527;451.7256264;429.3614123;625.0791663;495.8048551;396.9309558;505.9383257;515.3802971;-205.7363237;0.981679603;938.0626752;716.0055797;613.4324993;670.3209615;521.6569275;458.313894;550.097261;755.8335847;-205.7363237;0.727802088
gene-LOC117900899;0;6.60E-22;2198.291076;2521.526187;2468.579071;2559.693788;2261.106639;2328.592335;2383.130921;2396.132111;-467.7907541;0.994574093;3816.410648;3561.247424;3949.46963;3329.403094;3090.551144;3503.801201;3307.91848;3775.709234;-467.7907541;0.876105196
gene-LOC117900206;0;7.98E-22;6618.311248;6773.797904;6495.212084;7080.991799;6312.009679;6494.289198;6629.096892;6629.107079;-733.3656792;0.999998463;9693.683045;8358.484808;9292.108199;8912.280096;7785.463492;8446.435426;8381.393005;9114.758684;-733.3656792;0.919540856
gene-LOC117897162;0;9.32E-22;169382.6732;128066.8232;149014.3112;147211.0018;160259.8395;131407.0063;146292.6158;148821.2692;6400.950284;0.983008791;140152.9797;133249.8122;130133.3314;146251.2251;141226.3702;135261.3788;140912.9914;134512.0411;6400.950284;1.047586448
gene-LOC117893817;0;9.46E-22;3491.288581;3743.167546;3584.321024;3760.191254;3840.587182;3778.117684;3792.965373;3606.25905;-837.1948154;1.051772854;5862.89172;5395.865;6042.70845;4999.65507;4785.403856;5004.821798;4929.960241;5767.155057;-837.1948154;0.854834003
gene-LOC117892044;0;4.34E-21;286.139176;654.115399;655.4983974;402.6848515;692.6064415;701.3832334;598.8915088;531.9176575;211.8016603;1.125910186;556.4216104;698.3988851;685.1324018;765.9591115;925.1425919;884.2561747;858.452626;646.6509657;211.8016603;1.327536293
gene-LOC117890172;0;1.90E-20;1167.018141;1228.944083;1196.434005;1143.279511;1217.129125;966.3502327;1108.919623;1197.46541;-308.1652431;0.926055662;1773.248194;1753.62678;1730.75598;1416.640096;1524.515756;1391.979373;1444.378408;1752.543651;-308.1652431;0.82416116
